Symbol,Sector,Industry,CapTier,Category
IOC,Energy,Oil Gas & Consumable Fuels,unknown,
IPCALAB,Health Care,Healthcare,unknown,
IRB,Industrials,Construction,unknown,
IRCON,Industrials,Construction,unknown,
IRCTC,Consumer Discretionary,Consumer Services,unknown,
IREDA,Financials,Financial Services,unknown,
IRFC,Financials,Financial Services,unknown,
ITC,Consumer Staples,Fast Moving Consumer Goods,unknown,
ITCHOTELS,Consumer Discretionary,Consumer Services,unknown,
ITI,Communication Services,Telecommunication,unknown,
J&KBANK,Financials,Financial Services,unknown,
JAINREC,Materials,Metals & Mining,unknown,
JBMA,Consumer Discretionary,Automobile and Auto Components,unknown,
JINDALSAW,Industrials,Capital Goods,unknown,
JINDALSTEL,Materials,Metals & Mining,unknown,
JIOFIN,Financials,Financial Services,unknown,
JKCEMENT,Materials,Construction Materials,unknown,
JKTYRE,Consumer Discretionary,Automobile and Auto Components,unknown,
JMFINANCIL,Financials,Financial Services,unknown,
JPPOWER,Utilities,Power,unknown,
JSL,Materials,Metals & Mining,unknown,
JSWCEMENT,Materials,Construction Materials,unknown,
JSWDULUX,Consumer Discretionary,Consumer Durables,unknown,
JSWENERGY,Utilities,Power,unknown,
JSWINFRA,Industrials,Services,unknown,
JSWSTEEL,Materials,Metals & Mining,unknown,
JUBLFOOD,Consumer Discretionary,Consumer Services,unknown,
JUBLINGREA,Materials,Chemicals,unknown,
JUBLPHARMA,Health Care,Healthcare,unknown,
JWL,Industrials,Capital Goods,unknown,
JYOTICNC,Industrials,Capital Goods,unknown,
KAJARIACER,Consumer Discretionary,Consumer Durables,unknown,
KALYANKJIL,Consumer Discretionary,Consumer Durables,unknown,
KARURVYSYA,Financials,Financial Services,unknown,
KAYNES,Industrials,Capital Goods,unknown,
KEC,Industrials,Construction,unknown,
KEI,Industrials,Capital Goods,unknown,
KFINTECH,Financials,Financial Services,unknown,
KIMS,Health Care,Healthcare,unknown,
KIRLOSENG,Industrials,Capital Goods,unknown,
KOTAKBANK,Financials,Financial Services,unknown,
KPIL,Industrials,Construction,unknown,
KPITTECH,Information Technology,Information Technology,unknown,
KPRMILL,Consumer Discretionary,Textiles,unknown,
LALPATHLAB,Health Care,Healthcare,unknown,
LATENTVIEW,Information Technology,Information Technology,unknown,
LAURUSLABS,Health Care,Healthcare,unknown,
LEMONTREE,Consumer Discretionary,Consumer Services,unknown,
LENSKART,Consumer Discretionary,Consumer Services,unknown,
LGEINDIA,Consumer Discretionary,Consumer Durables,unknown,
LICHSGFIN,Financials,Financial Services,unknown,
LICI,Financials,Financial Services,unknown,
LINDEINDIA,Materials,Chemicals,unknown,
LLOYDSME,Materials,Metals & Mining,unknown,
LODHA,Real Estate,Realty,unknown,
LT,Industrials,Construction,unknown,
LTF,Financials,Financial Services,unknown,
LTFOODS,Consumer Staples,Fast Moving Consumer Goods,unknown,
LTM,Information Technology,Information Technology,unknown,
LTTS,Information Technology,Information Technology,unknown,
LUPIN,Health Care,Healthcare,unknown,
M&M,Consumer Discretionary,Automobile and Auto Components,unknown,
M&MFIN,Financials,Financial Services,unknown,
MAHABANK,Financials,Financial Services,unknown,
MANAPPURAM,Financials,Financial Services,unknown,
MANKIND,Health Care,Healthcare,unknown,
MAPMYINDIA,Information Technology,Information Technology,unknown,
MARICO,Consumer Staples,Fast Moving Consumer Goods,unknown,
MARUTI,Consumer Discretionary,Automobile and Auto Components,unknown,
MAXHEALTH,Health Care,Healthcare,unknown,
MAZDOCK,Industrials,Capital Goods,unknown,
MCX,Financials,Financial Services,unknown,
MEDANTA,Health Care,Healthcare,unknown,
MEESHO,Consumer Discretionary,Consumer Services,unknown,
MFSL,Financials,Financial Services,unknown,
MGL,Energy,Oil Gas & Consumable Fuels,unknown,
MINDACORP,Consumer Discretionary,Automobile and Auto Components,unknown,
MMTC,Industrials,Services,unknown,
MOTHERSON,Consumer Discretionary,Automobile and Auto Components,unknown,
MOTILALOFS,Financials,Financial Services,unknown,
MPHASIS,Information Technology,Information Technology,unknown,
MRF,Consumer Discretionary,Automobile and Auto Components,unknown,
MRPL,Energy,Oil Gas & Consumable Fuels,unknown,
MSUMI,Consumer Discretionary,Automobile and Auto Components,unknown,
MUTHOOTFIN,Financials,Financial Services,unknown,
NAM-INDIA,Financials,Financial Services,unknown,
NATCOPHARM,Health Care,Healthcare,unknown,
NATIONALUM,Materials,Metals & Mining,unknown,
NAUKRI,Consumer Discretionary,Consumer Services,unknown,
NAVA,Utilities,Power,unknown,
NAVINFLUOR,Materials,Chemicals,unknown,
NBCC,Industrials,Construction,unknown,
NCC,Industrials,Construction,unknown,
NESTLEIND,Consumer Staples,Fast Moving Consumer Goods,unknown,
NETWEB,Information Technology,Information Technology,unknown,
NEULANDLAB,Health Care,Healthcare,unknown,
NEWGEN,Information Technology,Information Technology,unknown,
NH,Health Care,Healthcare,unknown,
NHPC,Utilities,Power,unknown,
NIACL,Financials,Financial Services,unknown,
NIVABUPA,Financials,Financial Services,unknown,
NLCINDIA,Utilities,Power,unknown,
NMDC,Materials,Metals & Mining,unknown,
NSLNISP,Materials,Metals & Mining,unknown,
NTPC,Utilities,Power,unknown,
NTPCGREEN,Utilities,Power,unknown,
NUVAMA,Financials,Financial Services,unknown,
NUVOCO,Materials,Construction Materials,unknown,
NYKAA,Consumer Discretionary,Consumer Services,unknown,
OBEROIRLTY,Real Estate,Realty,unknown,
OFSS,Information Technology,Information Technology,unknown,
OIL,Energy,Oil Gas & Consumable Fuels,unknown,
OLAELEC,Consumer Discretionary,Automobile and Auto Components,unknown,
OLECTRA,Consumer Discretionary,Automobile and Auto Components,unknown,
ONESOURCE,Health Care,Healthcare,unknown,
ONGC,Energy,Oil Gas & Consumable Fuels,unknown,
PAGEIND,Consumer Discretionary,Textiles,unknown,
PARADEEP,Materials,Chemicals,unknown,
PATANJALI,Consumer Staples,Fast Moving Consumer Goods,unknown,
PAYTM,Financials,Financial Services,unknown,
PCBL,Materials,Chemicals,unknown,
PERSISTENT,Information Technology,Information Technology,unknown,
PETRONET,Energy,Oil Gas & Consumable Fuels,unknown,
PFC,Financials,Financial Services,unknown,
PFIZER,Health Care,Healthcare,unknown,
PFOCUS,Communication Services,Media Entertainment & Publication,unknown,
PGEL,Consumer Discretionary,Consumer Durables,unknown,
PHOENIXLTD,Real Estate,Realty,unknown,
PIDILITIND,Materials,Chemicals,unknown,
PIIND,Materials,Chemicals,unknown,
PINELABS,Financials,Financial Services,unknown,
PIRAMALFIN,Financials,Financial Services,unknown,
PNB,Financials,Financial Services,unknown,
PNBHOUSING,Financials,Financial Services,unknown,
POLICYBZR,Financials,Financial Services,unknown,
POLYCAB,Industrials,Capital Goods,unknown,
POLYMED,Health Care,Healthcare,unknown,
POONAWALLA,Financials,Financial Services,unknown,
POWERGRID,Utilities,Power,unknown,
POWERINDIA,Industrials,Capital Goods,unknown,
PPLPHARMA,Health Care,Healthcare,unknown,
PREMIERENE,Industrials,Capital Goods,unknown,
PRESTIGE,Real Estate,Realty,unknown,
PTCIL,Industrials,Capital Goods,unknown,
PVRINOX,Communication Services,Media Entertainment & Publication,unknown,
PWL,Consumer Discretionary,Consumer Services,unknown,
RADICO,Consumer Staples,Fast Moving Consumer Goods,unknown,
RAILTEL,Communication Services,Telecommunication,unknown,
RAINBOW,Health Care,Healthcare,unknown,
RAMCOCEM,Materials,Construction Materials,unknown,
RBLBANK,Financials,Financial Services,unknown,
RECLTD,Financials,Financial Services,unknown,
REDINGTON,Industrials,Services,unknown,
RELIANCE,Energy,Oil Gas & Consumable Fuels,unknown,
RHIM,Industrials,Capital Goods,unknown,
RITES,Industrials,Construction,unknown,
RKFORGE,Consumer Discretionary,Automobile and Auto Components,unknown,
RPOWER,Utilities,Power,unknown,
RRKABEL,Industrials,Capital Goods,unknown,
RVNL,Industrials,Construction,unknown,
SAGILITY,Information Technology,Information Technology,unknown,
SAIL,Materials,Metals & Mining,unknown,
SAILIFE,Health Care,Healthcare,unknown,
SAMMAANCAP,Financials,Financial Services,unknown,
SAPPHIRE,Consumer Discretionary,Consumer Services,unknown,
SARDAEN,Materials,Metals & Mining,unknown,
SAREGAMA,Communication Services,Media Entertainment & Publication,unknown,
SBFC,Financials,Financial Services,unknown,
SBICARD,Financials,Financial Services,unknown,
SBILIFE,Financials,Financial Services,unknown,
SBIN,Financials,Financial Services,unknown,
SCHAEFFLER,Consumer Discretionary,Automobile and Auto Components,unknown,
SCHNEIDER,Industrials,Capital Goods,unknown,
SCI,Industrials,Services,unknown,
SHREECEM,Materials,Construction Materials,unknown,
SHRIRAMFIN,Financials,Financial Services,unknown,
SHYAMMETL,Industrials,Capital Goods,unknown,
SIEMENS,Industrials,Capital Goods,unknown,
SIGNATURE,Real Estate,Realty,unknown,
SJVN,Utilities,Power,unknown,
SOBHA,Real Estate,Realty,unknown,
SOLARINDS,Materials,Chemicals,unknown,
SONACOMS,Consumer Discretionary,Automobile and Auto Components,unknown,
SONATSOFTW,Information Technology,Information Technology,unknown,
SPLPETRO,Materials,Chemicals,unknown,
SRF,Materials,Chemicals,unknown,
STARHEALTH,Financials,Financial Services,unknown,
SUMICHEM,Materials,Chemicals,unknown,
SUNDARMFIN,Financials,Financial Services,unknown,
SUNPHARMA,Health Care,Healthcare,unknown,
SUNTV,Communication Services,Media Entertainment & Publication,unknown,
SUPREMEIND,Industrials,Capital Goods,unknown,
SUZLON,Industrials,Capital Goods,unknown,
SWANCORP,Materials,Chemicals,unknown,
SWIGGY,Consumer Discretionary,Consumer Services,unknown,
SYNGENE,Health Care,Healthcare,unknown,
SYRMA,Industrials,Capital Goods,unknown,
TARIL,Industrials,Capital Goods,unknown,
TATACAP,Financials,Financial Services,unknown,
TATACHEM,Materials,Chemicals,unknown,
TATACOMM,Communication Services,Telecommunication,unknown,
TATACONSUM,Consumer Staples,Fast Moving Consumer Goods,unknown,
TATAELXSI,Information Technology,Information Technology,unknown,
TATAINVEST,Financials,Financial Services,unknown,
TATAPOWER,Utilities,Power,unknown,
TATASTEEL,Materials,Metals & Mining,unknown,
TATATECH,Information Technology,Information Technology,unknown,
TBOTEK,Consumer Discretionary,Consumer Services,unknown,
TCS,Information Technology,Information Technology,unknown,
TECHM,Information Technology,Information Technology,unknown,
TECHNOE,Industrials,Construction,unknown,
TEGA,Industrials,Capital Goods,unknown,
TEJASNET,Communication Services,Telecommunication,unknown,
TENNIND,Consumer Discretionary,Automobile and Auto Components,unknown,
THELEELA,Consumer Discretionary,Consumer Services,unknown,
THERMAX,Industrials,Capital Goods,unknown,
TIINDIA,Consumer Discretionary,Automobile and Auto Components,unknown,
TIMKEN,Industrials,Capital Goods,unknown,
TITAGARH,Industrials,Capital Goods,unknown,
TITAN,Consumer Discretionary,Consumer Durables,unknown,
TMCV,Industrials,Capital Goods,unknown,
TMPV,Consumer Discretionary,Automobile and Auto Components,unknown,
TORNTPHARM,Health Care,Healthcare,unknown,
TORNTPOWER,Utilities,Power,unknown,
TRAVELFOOD,Consumer Discretionary,Consumer Services,unknown,
TRENT,Consumer Discretionary,Consumer Services,unknown,
TRIDENT,Consumer Discretionary,Textiles,unknown,
TRITURBINE,Industrials,Capital Goods,unknown,
TTML,Communication Services,Telecommunication,unknown,
TVSMOTOR,Consumer Discretionary,Automobile and Auto Components,unknown,
UBL,Consumer Staples,Fast Moving Consumer Goods,unknown,
UCOBANK,Financials,Financial Services,unknown,
ULTRACEMCO,Materials,Construction Materials,unknown,
UNIONBANK,Financials,Financial Services,unknown,
UNITDSPR,Consumer Staples,Fast Moving Consumer Goods,unknown,
UNOMINDA,Consumer Discretionary,Automobile and Auto Components,unknown,
UPL,Materials,Chemicals,unknown,
URBANCO,Consumer Discretionary,Consumer Services,unknown,
USHAMART,Industrials,Capital Goods,unknown,
UTIAMC,Financials,Financial Services,unknown,
VBL,Consumer Staples,Fast Moving Consumer Goods,unknown,
VEDL,Materials,Metals & Mining,unknown,
VIJAYA,Health Care,Healthcare,unknown,
VMM,Consumer Discretionary,Consumer Services,unknown,
VOLTAS,Consumer Discretionary,Consumer Durables,unknown,
VTL,Consumer Discretionary,Textiles,unknown,
WAAREEENER,Industrials,Capital Goods,unknown,
WELCORP,Industrials,Capital Goods,unknown,
WELSPUNLIV,Consumer Discretionary,Textiles,unknown,
WHIRLPOOL,Consumer Discretionary,Consumer Durables,unknown,
WIPRO,Information Technology,Information Technology,unknown,
WOCKPHARMA,Health Care,Healthcare,unknown,
YESBANK,Financials,Financial Services,unknown,
ZEEL,Communication Services,Media Entertainment & Publication,unknown,
ZENSARTECH,Information Technology,Information Technology,unknown,
ZENTEC,Industrials,Capital Goods,unknown,
ZFCVINDIA,Consumer Discretionary,Automobile and Auto Components,unknown,
ZYDUSLIFE,Health Care,Healthcare,unknown,
ZYDUSWELL,Consumer Staples,Fast Moving Consumer Goods,unknown,
