Symbol,Sector,Industry,CapTier,Category
MSFT,Information Technology,Systems Software,large,
MSI,Information Technology,Communications Equipment,large,
MTB,Financials,Regional Banks,large,
MTD,Health Care,Life Sciences Tools & Services,large,
MU,Information Technology,Semiconductors,large,
NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",large,
NDAQ,Financials,Financial Exchanges & Data,large,
NDSN,Industrials,Industrial Machinery & Supplies & Components,large,
NEE,Utilities,Multi-Utilities,large,
NEM,Materials,Gold,large,
NFLX,Communication Services,Movies & Entertainment,large,
NI,Utilities,Multi-Utilities,large,
NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",large,
NOC,Industrials,Aerospace & Defense,large,
NOW,Information Technology,Systems Software,large,
NRG,Utilities,Independent Power Producers & Energy Traders,large,
NSC,Industrials,Rail Transportation,large,
NTAP,Information Technology,"Technology Hardware, Storage & Peripherals",large,
NTRS,Financials,Asset Management & Custody Banks,large,
NUE,Materials,Steel,large,
NVDA,Information Technology,Semiconductors,large,
NVR,Consumer Discretionary,Homebuilding,large,
NWS,Communication Services,Publishing,large,
NWSA,Communication Services,Publishing,large,
NXPI,Information Technology,Semiconductors,large,
O,Real Estate,Retail REITs,large,
ODFL,Industrials,Cargo Ground Transportation,large,
OKE,Energy,Oil & Gas Storage & Transportation,large,
OMC,Communication Services,Advertising,large,
ON,Information Technology,Semiconductors,large,
ORCL,Information Technology,Application Software,large,
ORLY,Consumer Discretionary,Automotive Retail,large,
OTIS,Industrials,Industrial Machinery & Supplies & Components,large,
OXY,Energy,Oil & Gas Exploration & Production,large,
PANW,Information Technology,Systems Software,large,
PAYX,Industrials,Human Resource & Employment Services,large,
PCAR,Industrials,Construction Machinery & Heavy Transportation Equipment,large,
PCG,Utilities,Multi-Utilities,large,
PEG,Utilities,Electric Utilities,large,
PEP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,large,
PFE,Health Care,Pharmaceuticals,large,
PFG,Financials,Life & Health Insurance,large,
PG,Consumer Staples,Personal Care Products,large,
PGR,Financials,Property & Casualty Insurance,large,
PH,Industrials,Industrial Machinery & Supplies & Components,large,
PHM,Consumer Discretionary,Homebuilding,large,
PKG,Materials,Paper & Plastic Packaging Products & Materials,large,
PLD,Real Estate,Industrial REITs,large,
PLTR,Information Technology,Application Software,large,
PM,Consumer Staples,Tobacco,large,
PNC,Financials,Diversified Banks,large,
PNR,Industrials,Industrial Machinery & Supplies & Components,large,
PNW,Utilities,Multi-Utilities,large,
PODD,Health Care,Health Care Equipment,large,
POOL,Consumer Discretionary,Distributors,large,
PPG,Materials,Specialty Chemicals,large,
PPL,Utilities,Electric Utilities,large,
PRU,Financials,Life & Health Insurance,large,
PSA,Real Estate,Self-Storage REITs,large,
PSKY,Communication Services,Movies & Entertainment,large,
PSX,Energy,Oil & Gas Refining & Marketing,large,
PTC,Information Technology,Application Software,large,
PWR,Industrials,Construction & Engineering,large,
PYPL,Financials,Transaction & Payment Processing Services,large,
Q,Information Technology,Semiconductor Materials & Equipment,large,
QCOM,Information Technology,Semiconductors,large,
RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",large,
REG,Real Estate,Retail REITs,large,
REGN,Health Care,Biotechnology,large,
RF,Financials,Regional Banks,large,
RJF,Financials,Investment Banking & Brokerage,large,
RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",large,
RMD,Health Care,Health Care Equipment,large,
ROK,Industrials,Electrical Components & Equipment,large,
ROL,Industrials,Environmental & Facilities Services,large,
ROP,Information Technology,Electronic Equipment & Instruments,large,
ROST,Consumer Discretionary,Apparel Retail,large,
RSG,Industrials,Environmental & Facilities Services,large,
RTX,Industrials,Aerospace & Defense,large,
RVTY,Health Care,Health Care Equipment,large,
SATS,Communication Services,Wireless Telecommunication Services,large,
SBAC,Real Estate,Telecom Tower REITs,large,
SBUX,Consumer Discretionary,Restaurants,large,
SCHW,Financials,Investment Banking & Brokerage,large,
SHW,Materials,Specialty Chemicals,large,
SJM,Consumer Staples,Packaged Foods & Meats,large,
SLB,Energy,Oil & Gas Equipment & Services,large,
SMCI,Information Technology,"Technology Hardware, Storage & Peripherals",large,
SNA,Industrials,Industrial Machinery & Supplies & Components,large,
SNDK,Information Technology,"Technology Hardware, Storage & Peripherals",large,
SNPS,Information Technology,Application Software,large,
SO,Utilities,Electric Utilities,large,
SOLV,Health Care,Health Care Technology,large,
SPG,Real Estate,Retail REITs,large,
SPGI,Financials,Financial Exchanges & Data,large,
SRE,Utilities,Multi-Utilities,large,
STE,Health Care,Health Care Equipment,large,
STLD,Materials,Steel,large,
STT,Financials,Asset Management & Custody Banks,large,
STX,Information Technology,"Technology Hardware, Storage & Peripherals",large,
STZ,Consumer Staples,Distillers & Vintners,large,
SW,Materials,Paper & Plastic Packaging Products & Materials,large,
SWK,Industrials,Industrial Machinery & Supplies & Components,large,
SWKS,Information Technology,Semiconductors,large,
SYF,Financials,Consumer Finance,large,
SYK,Health Care,Health Care Equipment,large,
SYY,Consumer Staples,Food Distributors,large,
T,Communication Services,Integrated Telecommunication Services,large,
TAP,Consumer Staples,Brewers,large,
TDG,Industrials,Aerospace & Defense,large,
TDY,Information Technology,Electronic Equipment & Instruments,large,
TECH,Health Care,Life Sciences Tools & Services,large,
TEL,Information Technology,Electronic Manufacturing Services,large,
TER,Information Technology,Semiconductor Materials & Equipment,large,
TFC,Financials,Diversified Banks,large,
TGT,Consumer Staples,Consumer Staples Merchandise Retail,large,
TJX,Consumer Discretionary,Apparel Retail,large,
TKO,Communication Services,Movies & Entertainment,large,
TMO,Health Care,Life Sciences Tools & Services,large,
TMUS,Communication Services,Wireless Telecommunication Services,large,
TPL,Energy,Oil & Gas Exploration & Production,large,
TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",large,
TRGP,Energy,Oil & Gas Storage & Transportation,large,
TRMB,Information Technology,Electronic Equipment & Instruments,large,
TROW,Financials,Asset Management & Custody Banks,large,
TRV,Financials,Property & Casualty Insurance,large,
TSCO,Consumer Discretionary,Other Specialty Retail,large,
TSLA,Consumer Discretionary,Automobile Manufacturers,large,
TSN,Consumer Staples,Packaged Foods & Meats,large,
TT,Industrials,Building Products,large,
TTD,Communication Services,Advertising,large,
TTWO,Communication Services,Interactive Home Entertainment,large,
TXN,Information Technology,Semiconductors,large,
TXT,Industrials,Aerospace & Defense,large,
TYL,Information Technology,Application Software,large,
UAL,Industrials,Passenger Airlines,large,
UBER,Industrials,Passenger Ground Transportation,large,
UDR,Real Estate,Multi-Family Residential REITs,large,
UHS,Health Care,Health Care Facilities,large,
ULTA,Consumer Discretionary,Other Specialty Retail,large,
UNH,Health Care,Managed Health Care,large,
UNP,Industrials,Rail Transportation,large,
UPS,Industrials,Air Freight & Logistics,large,
URI,Industrials,Trading Companies & Distributors,large,
USB,Financials,Diversified Banks,large,
V,Financials,Transaction & Payment Processing Services,large,
VICI,Real Estate,Hotel & Resort REITs,large,
VLO,Energy,Oil & Gas Refining & Marketing,large,
VLTO,Industrials,Environmental & Facilities Services,large,
VMC,Materials,Construction Materials,large,
VRSK,Industrials,Research & Consulting Services,large,
VRSN,Information Technology,Internet Services & Infrastructure,large,
VRT,Industrials,Electrical Components & Equipment,large,
VRTX,Health Care,Biotechnology,large,
VST,Utilities,Electric Utilities,large,
VTR,Real Estate,Health Care REITs,large,
VTRS,Health Care,Pharmaceuticals,large,
VZ,Communication Services,Integrated Telecommunication Services,large,
