Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
VTRS,Viatris Inc.,12.37,USD,-0.6425702811244987,2849515,0.24791730548864707,14764743890.8249,USD,,-0.7388,USD,-148.98554568359634,3.85542,Health technology,Neutral
FFIV,"F5, Inc.",250.995,USD,-0.1888893307352743,199788,0.49268520019452094,14712037948.299816,USD,26.275595661823207,9.5524,USD,45.52046676721052,0,Technology services,Neutral
CASY,"Caseys General Stores, Inc.",395.04,USD,-0.3003306160563303,109893,0.45733679028170243,14662918824.858288,USD,27.535252009172844,14.3467,USD,11.058042142094097,0.469424,Retail trade,Buy
ENTG,"Entegris, Inc.",97.07,USD,-2.0088835049465064,592685,0.2900731064395559,14657372642.951647,USD,64.4597914868185,1.5059,USD,13.824640967498118,0.403796,Producer manufacturing,Buy
SYM,Symbotic Inc.,24.5173,USD,3.4048924504428424,894405,0.5284393177924358,14401934371.480616,USD,,-0.1205,USD,48.89737065309585,0,Producer manufacturing,Buy
AKAM,"Akamai Technologies, Inc.",95.26,USD,-0.4077365394668066,488212,0.35688233442970957,14310623271.06618,USD,28.219332286636845,3.3757,USD,1.8279991553799275,0,Technology services,Buy
DUOL,"Duolingo, Inc.",324.94,USD,0.21898035345278952,292644,0.6024512331821256,14292317418.865557,USD,179.19814702476148,1.8133,USD,,0,Technology services,Buy
MORN,"Morningstar, Inc.",332.87,USD,-1.155125311794746,40684,0.3232865827009416,14274856798.119493,USD,43.93511430230717,7.5764,USD,358.25923909756244,0.481055,Finance,Buy
EVRG,"Evergy, Inc.",61.45,USD,-0.16246953696181043,521465,0.2635631551076989,14132035211.707556,USD,16.598238884987307,3.7022,USD,25.205451655449956,4.21608,Utilities,Buy
SWKS,"Skyworks Solutions, Inc.",88.13,USD,-0.6202074875958631,1079128,0.4399762367624754,14093807311.833107,USD,23.84276168059952,3.6963,USD,-39.762393663831034,3.11231,Electronic technology,Neutral
BSY,"Bentley Systems, Incorporated",46.535,USD,-0.3533190578158592,526032,0.5791069810842799,14065201084.451283,USD,41.832973750449476,1.1124,USD,106.80423870607918,0.513919,Technology services,Buy
NBIX,"Neurocrine Biosciences, Inc.",137.445,USD,0.6923076923076873,464382,0.4014627851445059,13915882606.246923,USD,36.82088512644663,3.7328,USD,99.71109089936334,0,Health technology,Strong buy
GMAB,Genmab A/S,20.965,USD,0.45519885002395233,672324,0.6412184910015164,13610738824.5928,USD,20.19554956169926,1.0381,USD,10.04982508215838,0,Health technology,Buy
OKTA,"Okta, Inc.",79.05,USD,0.31725888324873097,1172744,0.35614178958619375,13545588812.295685,USD,,-0.3377,USD,88.22688606888858,0,Technology services,Buy
RIVN,"Rivian Automotive, Inc.",13.265,USD,-0.26315789473684315,24539940,0.8058758360939284,13539193832.423685,USD,,-5.5983,USD,7.032780896077581,0,Consumer durables,Buy
REG,Regency Centers Corporation,72.04,USD,-2.5564723386987698,426072,0.3284415123702085,13499769269,USD,33.95230464699784,2.1218,USD,-0.333505566254868,3.67239,Finance,Buy
INCY,Incyte Corporation,69.655,USD,0.8469668452294888,477244,0.2611162225546849,13419053333.677141,USD,493.30736543909353,0.1412,USD,-92.49774188406568,0,Health technology,Buy
SMMT,Summit Therapeutics Inc.,18.18,USD,1.8772765480526805,1426540,0.6013178967505634,13406806307.731018,USD,,-0.2768,USD,82.44657238886424,0,Health technology,Strong buy
LINE,"Lineage, Inc.",58.035,USD,-0.9134369130954476,418252,0.3462638782229914,13378074834,USD,,,,,1.54943,Finance,Buy
GLPI,"Gaming and Leisure Properties, Inc.",47.66,USD,-1.0382059800664452,523035,0.3896700393592555,13214698020,USD,16.649781659388648,2.8625,USD,4.818924164194943,6.31229,Finance,Buy
SFM,"Sprouts Farmers Market, Inc.",131.615,USD,3.5767687101597674,994541,0.7322622938604639,13160354241.034904,USD,38.07753507883697,3.4565,USD,41.950718685831625,0,Retail trade,Neutral
EWBC,"East West Bancorp, Inc.",94.54,USD,-1.2740183792815358,276665,0.24720333165382977,13105998727.370928,USD,11.927380997438906,7.9263,USD,-10.591858143548432,2.29741,Finance,Buy
BMRN,BioMarin Pharmaceutical Inc.,66.495,USD,1.1638521223185767,358823,0.2632897397106024,12672818766.092651,USD,40.037933526011564,1.6608,USD,117.46759198638208,0,Health technology,Buy
MMYT,MakeMyTrip Limited,115.155,USD,2.5605628785179904,328087,0.8598832703487344,12642002412.162853,USD,63.40436075322101,1.8162,USD,671.2101910828026,0,Technology services,Strong buy
POOL,Pool Corporation,332.191,USD,-2.5661406699126017,225831,0.600085137681768,12641703571.235428,USD,28.555182106538986,11.6333,USD,-15.830638217823218,1.37854,Distribution services,Neutral
JKHY,"Jack Henry & Associates, Inc.",172.88,USD,-1.3804905875641846,153240,0.3092737938897234,12613208791.898687,USD,31.622462044997256,5.467,USD,10.404297427198173,1.25499,Technology services,Neutral
CPB,The Campbell's Company,41.92,USD,0.09551098376313072,870309,0.29166384880902985,12496740201.421202,USD,22.827270747113918,1.8364,USD,-30.707116444041954,3.53391,Consumer non-durables,Neutral
INSM,Insmed Incorporated,69.67,USD,0.912514484356888,507570,0.278724915196941,12464153031.383402,USD,,-5.5556,USD,-5.413354078515461,0,Health technology,Strong buy
LAMR,Lamar Advertising Company,120.8,USD,-0.7721373418761276,212350,0.3764949428936868,12461039115,USD,24.18273176786179,4.9953,USD,23.584858980702634,4.43568,Finance,Neutral
RKLB,"Rocket Lab USA, Inc.",24.565,USD,-3.553199842952484,11199099,0.6862964383306881,12280315147.234983,USD,,-0.3826,USD,-8.140192198982474,0,Electronic technology,Buy
HST,"Host Hotels & Resorts, Inc.",17.21,USD,-1.7694063926940566,2791067,0.3842090009349366,12246992532,USD,16.844474894783204,1.0217,USD,-3.3030475108839608,4.56621,Finance,Buy
TXRH,"Texas Roadhouse, Inc.",181.91,USD,0.8202627057584603,458532,0.7270567372287958,12135956559.296404,USD,31.25762496348609,5.8197,USD,33.80773917641918,1.35233,Consumer services,Buy
CHRW,"C.H. Robinson Worldwide, Inc.",102.53,USD,-0.7646147890050253,285496,0.32710185074643283,12119578358.147503,USD,35.4676906046769,2.8908,USD,-11.13980081150867,2.38095,Transportation,Neutral
PAA,"Plains All American Pipeline, L.P.",17.175,USD,0.5562060889929885,2161411,0.5549429065658213,12085516178.101582,USD,15.28296849973305,1.1238,USD,-16.34035584009529,7.4356,Industrial services,Neutral
LOGI,Logitech International S.A. - Registered Shares,81.61,USD,-0.8986035215543351,133180,0.42190122924113216,12055755640,USD,17.441848273024622,4.678976604,USD,96.19842882891984,1.54584,Electronic technology,Neutral
WIX,Wix.com Ltd.,214.87,USD,0.1491493824283352,393799,0.8562385332670606,11956612728.527195,USD,135.69308493842755,1.5835,USD,,0,Technology services,Buy
SRPT,"Sarepta Therapeutics, Inc.",124.555,USD,2.4385229048441515,282071,0.408648180039258,11897449110.949501,USD,103.46818408373484,1.2038,USD,,0,Health technology,Strong buy
